Epoch 1/100, Loss: 1.8923, Accuracy: 52.34%
Epoch 2/100, Loss: 1.7821, Accuracy: 53.56%
Epoch 3/100, Loss: 1.6659, Accuracy: 55.12%
Epoch 4/100, Loss: 1.5743, Accuracy: 56.78%
Epoch 5/100, Loss: 1.4821, Accuracy: 58.24%
Epoch 6/100, Loss: 1.4132, Accuracy: 59.10%
Epoch 7/100, Loss: 1.3576, Accuracy: 59.80%
Epoch 8/100, Loss: 1.3118, Accuracy: 60.45%
Epoch 9/100, Loss: 1.2764, Accuracy: 61.12%
Epoch 10/100, Loss: 1.2449, Accuracy: 61.87%
Epoch 11/100, Loss: 1.2168, Accuracy: 62.43%
Epoch 12/100, Loss: 1.1884, Accuracy: 63.01%
Epoch 13/100, Loss: 1.1613, Accuracy: 63.47%
Epoch 14/100, Loss: 1.1346, Accuracy: 64.11%
Epoch 15/100, Loss: 1.1090, Accuracy: 64.56%
Epoch 16/100, Loss: 1.0838, Accuracy: 65.13%
Epoch 17/100, Loss: 1.0600, Accuracy: 65.38%
Epoch 18/100, Loss: 1.0372, Accuracy: 65.81%
Epoch 19/100, Loss: 1.0153, Accuracy: 66.24%
Epoch 20/100, Loss: 0.9938, Accuracy: 66.51%
Epoch 21/100, Loss: 0.9730, Accuracy: 66.93%
Epoch 22/100, Loss: 0.9527, Accuracy: 67.25%
Epoch 23/100, Loss: 0.9330, Accuracy: 67.55%
Epoch 24/100, Loss: 0.9142, Accuracy: 67.89%
Epoch 25/100, Loss: 0.8959, Accuracy: 68.20%
Epoch 26/100, Loss: 0.8783, Accuracy: 68.45%
Epoch 27/100, Loss: 0.8613, Accuracy: 68.72%
Epoch 28/100, Loss: 0.8447, Accuracy: 69.00%
Epoch 29/100, Loss: 0.8288, Accuracy: 69.31%
Epoch 30/100, Loss: 0.8134, Accuracy: 69.55%
Epoch 31/100, Loss: 0.7984, Accuracy: 69.81%
Epoch 32/100, Loss: 0.7837, Accuracy: 70.03%
Epoch 33/100, Loss: 0.7694, Accuracy: 70.25%
Epoch 34/100, Loss: 0.7554, Accuracy: 70.48%
Epoch 35/100, Loss: 0.7418, Accuracy: 70.65%
Epoch 36/100, Loss: 0.7284, Accuracy: 70.89%
Epoch 37/100, Loss: 0.7154, Accuracy: 71.11%
Epoch 38/100, Loss: 0.7027, Accuracy: 71.28%
Epoch 39/100, Loss: 0.6903, Accuracy: 71.48%
Epoch 40/100, Loss: 0.6782, Accuracy: 71.65%
Epoch 41/100, Loss: 0.6665, Accuracy: 71.84%
Epoch 42/100, Loss: 0.6549, Accuracy: 72.03%
Epoch 43/100, Loss: 0.6436, Accuracy: 72.22%
Epoch 44/100, Loss: 0.6326, Accuracy: 72.38%
Epoch 45/100, Loss: 0.6218, Accuracy: 72.56%
Epoch 46/100, Loss: 0.6113, Accuracy: 72.74%
Epoch 47/100, Loss: 0.6010, Accuracy: 72.91%
Epoch 48/100, Loss: 0.5910, Accuracy: 73.08%
Epoch 49/100, Loss: 0.5812, Accuracy: 73.26%
Epoch 50/100, Loss: 0.5717, Accuracy: 73.43%
Epoch 51/100, Loss: 0.5624, Accuracy: 73.59%
Epoch 52/100, Loss: 0.5534, Accuracy: 73.76%
Epoch 53/100, Loss: 0.5446, Accuracy: 73.92%
Epoch 54/100, Loss: 0.5360, Accuracy: 74.09%
Epoch 55/100, Loss: 0.5276, Accuracy: 74.26%
Epoch 56/100, Loss: 0.5194, Accuracy: 74.42%
Epoch 57/100, Loss: 0.5114, Accuracy: 74.58%
Epoch 58/100, Loss: 0.5035, Accuracy: 74.74%
Epoch 59/100, Loss: 0.4958, Accuracy: 74.89%
Epoch 60/100, Loss: 0.4882, Accuracy: 75.03%
Epoch 61/100, Loss: 0.4808, Accuracy: 75.18%
Epoch 62/100, Loss: 0.4735, Accuracy: 75.33%
Epoch 63/100, Loss: 0.4663, Accuracy: 75.47%
Epoch 64/100, Loss: 0.4593, Accuracy: 75.61%
Epoch 65/100, Loss: 0.4524, Accuracy: 75.75%
Epoch 66/100, Loss: 0.4456, Accuracy: 75.89%
Epoch 67/100, Loss: 0.4390, Accuracy: 76.02%
Epoch 68/100, Loss: 0.4325, Accuracy: 76.15%
Epoch 69/100, Loss: 0.4261, Accuracy: 76.28%
Epoch 70/100, Loss: 0.4198, Accuracy: 76.41%
Epoch 71/100, Loss: 0.4136, Accuracy: 76.53%
Epoch 72/100, Loss: 0.4075, Accuracy: 76.65%
Epoch 73/100, Loss: 0.4015, Accuracy: 76.77%
Epoch 74/100, Loss: 0.3956, Accuracy: 76.89%
Epoch 75/100, Loss: 0.3898, Accuracy: 77.01%
Epoch 76/100, Loss: 0.3841, Accuracy: 77.12%
Epoch 77/100, Loss: 0.3785, Accuracy: 77.23%
Epoch 78/100, Loss: 0.3730, Accuracy: 77.34%
Epoch 79/100, Loss: 0.3676, Accuracy: 77.45%
Epoch 80/100, Loss: 0.3622, Accuracy: 77.56%
Epoch 81/100, Loss: 0.3570, Accuracy: 77.67%
Epoch 82/100, Loss: 0.3518, Accuracy: 77.78%
Epoch 83/100, Loss: 0.3467, Accuracy: 77.89%
Epoch 84/100, Loss: 0.3417, Accuracy: 77.99%
Epoch 85/100, Loss: 0.3368, Accuracy: 78.10%
Epoch 86/100, Loss: 0.3319, Accuracy: 78.21%
Epoch 87/100, Loss: 0.3271, Accuracy: 78.31%
Epoch 88/100, Loss: 0.3224, Accuracy: 78.42%
Epoch 89/100, Loss: 0.3178, Accuracy: 78.52%
Epoch 90/100, Loss: 0.3133, Accuracy: 78.63%
Epoch 91/100, Loss: 0.3089, Accuracy: 78.73%
Epoch 92/100, Loss: 0.3046, Accuracy: 78.83%
Epoch 93/100, Loss: 0.3003, Accuracy: 78.93%
Epoch 94/100, Loss: 0.2961, Accuracy: 79.03%
Epoch 95/100, Loss: 0.2920, Accuracy: 79.13%
Epoch 96/100, Loss: 0.2880, Accuracy: 79.23%
Epoch 97/100, Loss: 0.2841, Accuracy: 79.33%
Epoch 98/100, Loss: 0.2802, Accuracy: 79.43%
Epoch 99/100, Loss: 0.2764, Accuracy: 79.53%
Epoch 100/100, Loss: 0.2727, Accuracy: 79.63%
